STATISTIC Label,Year,Quarter,County,UNIT,VALUE
New Dwelling Completion,2011,Q4,Cork,Number,194
New Dwelling Completion,2011,Q4,Carlow,Number,38
New Dwelling Completion,2011,Q4,Dublin City,Number,83
New Dwelling Completion,2011,Q4,Dún Laoghaire Rathdown,Number,17
New Dwelling Completion,2011,Q4,Donegal,Number,88
New Dwelling Completion,2011,Q4,Fingal,Number,33
New Dwelling Completion,2011,Q4,Galway,Number,114
New Dwelling Completion,2011,Q4,Galway City,Number,11
New Dwelling Completion,2011,Q4,Kildare,Number,76
New Dwelling Completion,2011,Q4,Kilkenny,Number,54
New Dwelling Completion,2011,Q4,Kerry,Number,79
New Dwelling Completion,2011,Q4,Longford,Number,13
New Dwelling Completion,2011,Q4,Louth,Number,37
New Dwelling Completion,2011,Q4,Limerick City &,Number,95
New Dwelling Completion,2011,Q4,Leitrim,Number,16
New Dwelling Completion,2011,Q4,Laois,Number,33
New Dwelling Completion,2011,Q4,Meath,Number,68
New Dwelling Completion,2011,Q4,Monaghan,Number,32
New Dwelling Completion,2011,Q4,Mayo,Number,88
New Dwelling Completion,2011,Q4,Offaly,Number,29
New Dwelling Completion,2011,Q4,Roscommon,Number,31
New Dwelling Completion,2011,Q4,South Dublin,Number,36
New Dwelling Completion,2011,Q4,Sligo,Number,24
New Dwelling Completion,2011,Q4,Tipperary,Number,68
New Dwelling Completion,2011,Q4,Waterford City &,Number,35
New Dwelling Completion,2011,Q4,Westmeath,Number,28
New Dwelling Completion,2011,Q4,Wicklow,Number,47
New Dwelling Completion,2011,Q4,Wexford,Number,55
New Dwelling Completion,2012,Q1,Ireland,Number,1131
New Dwelling Completion,2012,Q1,Cork City,Number,20
New Dwelling Completion,2012,Q1,Clare,Number,44
New Dwelling Completion,2012,Q1,Cavan,Number,20
New Dwelling Completion,2012,Q1,Cork,Number,122
New Dwelling Completion,2012,Q1,Carlow,Number,17
New Dwelling Completion,2012,Q1,Dublin City,Number,57
